isp,State,Weight,Technology,"Download Bandwidth Mbps","Upload Bandwidth Mbps","Usage Allowance GB","Monthly Charge","Other Mandatory Charge",Surcharge,"Total Charge","Total Charge Spread","Regression Data"
"AT&T",Alabama,5126.08,DSL,0.75,0.125,150,36,0,0,36,0,No
"AT&T",Alabama,11913.16,DSL,0.75,0.125,150,36,0,0,36,0,No
"AT&T",Alabama,5126.08,DSL,1.5,0.25,150,44,0,0,44,0,No
"AT&T",Alabama,11913.16,DSL,1.5,0.25,150,44,0,0,44,0,No
"AT&T",Alabama,5126.08,DSL,3,0.375,150,49,0,0,49,0,Yes
"AT&T",Alabama,5956.58,DSL,3,0.375,150,49,0,0,49,0,Yes
"AT&T",Alabama,5126.08,DSL,6,0.5,150,54,0,0,54,0,Yes
"AT&T",Alabama,5956.58,DSL,6,0.5,150,54,0,0,54,0,Yes
"AT&T",Arkansas,11828.16,DSL,0.75,0.375,150,36,0,0,36,0,No
"AT&T",Arkansas,11828.16,DSL,1.5,0.375,150,44,0,0,44,0,No
"AT&T",Arkansas,5914.08,DSL,3,0.5,150,49,0,0,49,0,Yes
"AT&T",Arkansas,5914.08,DSL,6,0.75,150,54,0,0,54,0,Yes
"AT&T",California,10603.16,DSL,0.75,0.375,150,36,0,0,36,0,No
"AT&T",California,10750.16,DSL,0.75,0.375,150,36,0,0,36,0,No
"AT&T",California,11428.16,DSL,0.75,0.375,150,36,0,0,36,0,No
"AT&T",California,11657.16,DSL,0.75,0.375,150,36,0,0,36,0,No
"AT&T",California,10603.16,DSL,1.5,0.375,150,44,0,0,44,0,No
"AT&T",California,10750.16,DSL,1.5,0.375,150,44,0,0,44,0,No
"AT&T",California,11428.16,DSL,1.5,0.375,150,44,0,0,44,0,No
"AT&T",California,11657.16,DSL,1.5,0.375,150,44,0,0,44,0,No
"AT&T",California,5301.58,DSL,3,0.5,150,49,0,0,49,0,Yes
"AT&T",California,5375.08,DSL,3,0.5,150,49,0,0,49,0,Yes
"AT&T",California,5714.08,DSL,3,0.5,150,49,0,0,49,0,Yes
"AT&T",California,5828.58,DSL,3,0.5,150,49,0,0,49,0,Yes
"AT&T",California,5301.58,DSL,6,0.75,150,54,0,0,54,0,Yes
"AT&T",California,5375.08,DSL,6,0.75,150,54,0,0,54,0,Yes
"AT&T",California,5714.08,DSL,6,0.75,150,54,0,0,54,0,Yes
"AT&T",California,5828.58,DSL,6,0.75,150,54,0,0,54,0,Yes
"AT&T",Connecticut,10522.16,DSL,0.75,0.375,150,36,0,0,36,0,No
"AT&T",Connecticut,10522.16,DSL,1.5,0.375,150,44,0,0,44,0,No
"AT&T",Connecticut,5261.08,DSL,3,0.5,150,49,0,0,49,0,Yes
"AT&T",Connecticut,5261.08,DSL,6,0.75,150,54,0,0,54,0,Yes
"AT&T",Georgia,10674.16,DSL,0.75,0.125,150,36,0,0,36,0,No
"AT&T",Georgia,11067.16,DSL,0.75,0.125,150,36,0,0,36,0,No
"AT&T",Georgia,11546.16,DSL,0.75,0.125,150,36,0,0,36,0,No
"AT&T",Georgia,10674.16,DSL,1.5,0.25,150,44,0,0,44,0,No
"AT&T",Georgia,11067.16,DSL,1.5,0.25,150,44,0,0,44,0,No
"AT&T",Georgia,11546.16,DSL,1.5,0.25,150,44,0,0,44,0,No
"AT&T",Georgia,5337.08,DSL,3,0.375,150,49,0,0,49,0,Yes
"AT&T",Georgia,5533.58,DSL,3,0.375,150,49,0,0,49,0,Yes
"AT&T",Georgia,5773.08,DSL,3,0.375,150,49,0,0,49,0,Yes
"AT&T",Georgia,5337.08,DSL,6,0.5,150,54,0,0,54,0,Yes
"AT&T",Georgia,5533.58,DSL,6,0.5,150,54,0,0,54,0,Yes
"AT&T",Georgia,5773.08,DSL,6,0.5,150,54,0,0,54,0,Yes
"AT&T",Illinois,11360.16,DSL,0.75,0.375,150,36,0,0,36,0,No
"AT&T",Illinois,11360.16,DSL,1.5,0.375,150,44,0,0,44,0,No
"AT&T",Illinois,5680.08,DSL,3,0.5,150,49,0,0,49,0,Yes
"AT&T",Illinois,5680.08,DSL,6,0.75,150,54,0,0,54,0,Yes
"AT&T",Louisiana,11243.16,DSL,0.75,0.125,150,36,0,0,36,0,No
"AT&T",Louisiana,11396.16,DSL,0.75,0.125,150,36,0,0,36,0,No
"AT&T",Louisiana,11243.16,DSL,1.5,0.25,150,44,0,0,44,0,No
"AT&T",Louisiana,11396.16,DSL,1.5,0.25,150,44,0,0,44,0,No
"AT&T",Louisiana,5621.58,DSL,3,0.375,150,49,0,0,49,0,Yes
"AT&T",Louisiana,5698.08,DSL,3,0.375,150,49,0,0,49,0,Yes
"AT&T",Louisiana,5621.58,DSL,6,0.5,150,54,0,0,54,0,Yes
"AT&T",Louisiana,5698.08,DSL,6,0.5,150,54,0,0,54,0,Yes
"AT&T",Michigan,11100.16,DSL,0.75,0.375,150,36,0,0,36,0,No
"AT&T",Michigan,11100.16,DSL,1.5,0.375,150,44,0,0,44,0,No
"AT&T",Michigan,5550.08,DSL,3,0.5,150,49,0,0,49,0,Yes
"AT&T",Michigan,5550.08,DSL,6,0.75,150,54,0,0,54,0,Yes
"AT&T",Missouri,12138.16,DSL,0.75,0.375,150,36,0,0,36,0,No
"AT&T",Missouri,12138.16,DSL,1.5,0.375,150,44,0,0,44,0,No
"AT&T",Missouri,6069.08,DSL,3,0.5,150,49,0,0,49,0,Yes
"AT&T",Missouri,6069.08,DSL,6,0.75,150,54,0,0,54,0,Yes
"AT&T","North Carolina",10408.16,DSL,0.75,0.125,150,36,0,0,36,0,No
"AT&T","North Carolina",11633.16,DSL,0.75,0.125,150,36,0,0,36,0,No
"AT&T","North Carolina",11850.16,DSL,0.75,0.125,150,36,0,0,36,0,No
"AT&T","North Carolina",10408.16,DSL,1.5,0.25,150,44,0,0,44,0,No
"AT&T","North Carolina",11633.16,DSL,1.5,0.25,150,44,0,0,44,0,No
"AT&T","North Carolina",11850.16,DSL,1.5,0.25,150,44,0,0,44,0,No
"AT&T","North Carolina",5204.08,DSL,3,0.375,150,49,0,0,49,0,Yes
"AT&T","North Carolina",5816.58,DSL,3,0.375,150,49,0,0,49,0,Yes
"AT&T","North Carolina",5925.08,DSL,3,0.375,150,49,0,0,49,0,Yes
"AT&T","North Carolina",5204.08,DSL,6,0.5,150,54,0,0,54,0,Yes
"AT&T","North Carolina",5816.58,DSL,6,0.5,150,54,0,0,54,0,Yes
"AT&T","North Carolina",5925.08,DSL,6,0.5,150,54,0,0,54,0,Yes
"AT&T",Ohio,5226.08,DSL,0.75,0.375,150,36,0,0,36,0,No
"AT&T",Ohio,5618.08,DSL,0.75,0.375,150,36,0,0,36,0,No
"AT&T",Ohio,11170.16,DSL,0.75,0.375,150,36,0,0,36,0,No
"AT&T",Ohio,11252.16,DSL,0.75,0.375,150,36,0,0,36,0,No
"AT&T",Ohio,5226.08,DSL,1.5,0.375,150,44,0,0,44,0,No
"AT&T",Ohio,5618.08,DSL,1.5,0.375,150,44,0,0,44,0,No
"AT&T",Ohio,11170.16,DSL,1.5,0.375,150,44,0,0,44,0,No
"AT&T",Ohio,11252.16,DSL,1.5,0.375,150,44,0,0,44,0,No
"AT&T",Ohio,5226.08,DSL,3,0.5,150,49,0,0,49,0,Yes
"AT&T",Ohio,5585.08,DSL,3,0.5,150,49,0,0,49,0,Yes
"AT&T",Ohio,5618.08,DSL,3,0.5,150,49,0,0,49,0,Yes
"AT&T",Ohio,5626.08,DSL,3,0.5,150,49,0,0,49,0,Yes
"AT&T",Ohio,5226.08,DSL,6,0.75,150,54,0,0,54,0,Yes
"AT&T",Ohio,5585.08,DSL,6,0.75,150,54,0,0,54,0,Yes
"AT&T",Ohio,5618.08,DSL,6,0.75,150,54,0,0,54,0,Yes
"AT&T",Ohio,5626.08,DSL,6,0.75,150,54,0,0,54,0,Yes
"AT&T",Ohio,11170.16,DSL,45,6,250,81,0,0,81,0,No
"AT&T",Texas,5732.08,DSL,0.75,0.375,150,36,0,0,36,0,No
"AT&T",Texas,5732.08,DSL,1.5,0.375,150,44,0,0,44,0,No
"AT&T",Texas,5732.08,DSL,3,0.5,150,49,0,0,49,0,Yes
"AT&T",Texas,5732.08,DSL,6,0.75,150,54,0,0,54,0,Yes
"AT&T",Wisconsin,12272.16,DSL,0.75,0.375,150,36,0,0,36,0,No
"AT&T",Wisconsin,12272.16,DSL,1.5,0.375,150,44,0,0,44,0,No
"AT&T",Wisconsin,6136.08,DSL,3,0.5,150,49,0,0,49,0,Yes
"AT&T",Wisconsin,6136.08,DSL,6,0.75,150,54,0,0,54,0,Yes
"CenturyLink",Arizona,2978.3279999999995,DSL,1.5,0.875,150,35,0,0.99,35.99,0,No
"CenturyLink",Arizona,4316.3279999999995,DSL,1.5,0.875,150,35,0,0.99,35.99,0,No
"CenturyLink",Arizona,2978.3279999999995,DSL,3,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Arizona,4316.3279999999995,DSL,3,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Arizona,2978.3279999999995,DSL,4,1,250,50,0,0.99,50.99,0,Yes
"CenturyLink",Arizona,4316.3279999999995,DSL,4,1,250,50,0,0.99,50.99,0,Yes
"CenturyLink",Arizona,2978.3279999999995,DSL,5,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Arizona,4316.3279999999995,DSL,5,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Arizona,2978.3279999999995,DSL,7,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Arizona,4316.3279999999995,DSL,7,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Arizona,2978.3279999999995,DSL,12,0.875,250,55,0,0.99,55.99,0,Yes
"CenturyLink",Arizona,4316.3279999999995,DSL,12,0.875,250,55,0,0.99,55.99,0,Yes
"CenturyLink",Arizona,2978.3279999999995,DSL,20,0.875,250,65,0,0.99,65.99,0,Yes
"CenturyLink",Arizona,4316.3279999999995,DSL,20,0.875,250,65,0,0.99,65.99,0,Yes
"CenturyLink",Arizona,1489.1639999999998,DSL,40,5,250,105,0,0.99,105.99,0,Yes
"CenturyLink",Arizona,2158.1639999999998,DSL,40,5,250,105,0,0.99,105.99,0,Yes
"CenturyLink",Arizona,1489.1639999999998,DSL,40,20,250,115,0,0.99,115.99,0,Yes
"CenturyLink",Arizona,2158.1639999999998,DSL,40,20,250,115,0,0.99,115.99,0,Yes
"CenturyLink",Colorado,2578.3279999999995,DSL,1.5,0.875,150,35,0,0.99,35.99,0,No
"CenturyLink",Colorado,3252.3279999999995,DSL,1.5,0.875,150,35,0,0.99,35.99,0,No
"CenturyLink",Colorado,3402.3279999999995,DSL,1.5,0.875,150,35,0,0.99,35.99,0,No
"CenturyLink",Colorado,4394.3279999999995,DSL,1.5,0.875,150,35,0,0.99,35.99,0,No
"CenturyLink",Colorado,2578.3279999999995,DSL,3,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Colorado,3252.3279999999995,DSL,3,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Colorado,3402.3279999999995,DSL,3,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Colorado,4394.3279999999995,DSL,3,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Colorado,2578.3279999999995,DSL,4,1,250,50,0,0.99,50.99,0,Yes
"CenturyLink",Colorado,3252.3279999999995,DSL,4,1,250,50,0,0.99,50.99,0,Yes
"CenturyLink",Colorado,3402.3279999999995,DSL,4,1,250,50,0,0.99,50.99,0,Yes
"CenturyLink",Colorado,4394.3279999999995,DSL,4,1,250,50,0,0.99,50.99,0,Yes
"CenturyLink",Colorado,2578.3279999999995,DSL,5,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Colorado,3252.3279999999995,DSL,5,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Colorado,3402.3279999999995,DSL,5,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Colorado,4394.3279999999995,DSL,5,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Colorado,2578.3279999999995,DSL,7,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Colorado,3252.3279999999995,DSL,7,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Colorado,3402.3279999999995,DSL,7,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Colorado,4394.3279999999995,DSL,7,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Colorado,2578.3279999999995,DSL,12,0.875,250,55,0,0.99,55.99,0,Yes
"CenturyLink",Colorado,3252.3279999999995,DSL,12,0.875,250,55,0,0.99,55.99,0,Yes
"CenturyLink",Colorado,3402.3279999999995,DSL,12,0.875,250,55,0,0.99,55.99,0,Yes
"CenturyLink",Colorado,4394.3279999999995,DSL,12,0.875,250,55,0,0.99,55.99,0,Yes
"CenturyLink",Colorado,2578.3279999999995,DSL,20,0.875,250,65,0,0.99,65.99,0,Yes
"CenturyLink",Colorado,3252.3279999999995,DSL,20,0.875,250,65,0,0.99,65.99,0,Yes
"CenturyLink",Colorado,3402.3279999999995,DSL,20,0.875,250,65,0,0.99,65.99,0,Yes
"CenturyLink",Colorado,4394.3279999999995,DSL,20,0.875,250,65,0,0.99,65.99,0,Yes
"CenturyLink",Colorado,1289.1639999999998,DSL,40,5,250,105,0,0.99,105.99,0,Yes
"CenturyLink",Colorado,1626.1639999999998,DSL,40,5,250,105,0,0.99,105.99,0,Yes
"CenturyLink",Colorado,1701.1639999999998,DSL,40,5,250,105,0,0.99,105.99,0,Yes
"CenturyLink",Colorado,2197.1639999999998,DSL,40,5,250,105,0,0.99,105.99,0,Yes
"CenturyLink",Colorado,1289.1639999999998,DSL,40,20,250,115,0,0.99,115.99,0,Yes
"CenturyLink",Colorado,1626.1639999999998,DSL,40,20,250,115,0,0.99,115.99,0,Yes
"CenturyLink",Colorado,1701.1639999999998,DSL,40,20,250,115,0,0.99,115.99,0,Yes
"CenturyLink",Colorado,2197.1639999999998,DSL,40,20,250,115,0,0.99,115.99,0,Yes
"CenturyLink",Florida,2792.3279999999995,DSL,0.75,0.375,150,29.95,0,0.99,30.939999999999998,0,No
"CenturyLink",Florida,3344.3279999999995,DSL,0.75,0.375,150,29.95,0,0.99,30.939999999999998,0,No
"CenturyLink",Florida,4341.3279999999995,DSL,0.75,0.375,150,29.95,0,0.99,30.939999999999998,0,No
"CenturyLink",Florida,2792.3279999999995,DSL,1.5,0.5,150,39.95,0,0.99,40.940000000000005,0,No
"CenturyLink",Florida,3344.3279999999995,DSL,1.5,0.5,150,39.95,0,0.99,40.940000000000005,0,No
"CenturyLink",Florida,4341.3279999999995,DSL,1.5,0.5,150,39.95,0,0.99,40.940000000000005,0,No
"CenturyLink",Florida,2792.3279999999995,DSL,3,0.625,250,44.95,0,0.99,45.940000000000005,0,Yes
"CenturyLink",Florida,3344.3279999999995,DSL,3,0.625,250,44.95,0,0.99,45.940000000000005,0,Yes
"CenturyLink",Florida,4341.3279999999995,DSL,3,0.625,250,44.95,0,0.99,45.940000000000005,0,Yes
"CenturyLink",Florida,2792.3279999999995,DSL,4,1,250,54.95,0,0.99,55.940000000000005,0,Yes
"CenturyLink",Florida,3344.3279999999995,DSL,4,1,250,54.95,0,0.99,55.940000000000005,0,Yes
"CenturyLink",Florida,4341.3279999999995,DSL,4,1,250,54.95,0,0.99,55.940000000000005,0,Yes
"CenturyLink",Florida,2792.3279999999995,DSL,6,0.5,250,49.95,0,0.99,50.940000000000005,0,Yes
"CenturyLink",Florida,3344.3279999999995,DSL,6,0.5,250,49.95,0,0.99,50.940000000000005,0,Yes
"CenturyLink",Florida,4341.3279999999995,DSL,6,0.5,250,49.95,0,0.99,50.940000000000005,0,Yes
"CenturyLink",Florida,2792.3279999999995,DSL,8,0.75,250,49.95,0,0.99,50.940000000000005,0,Yes
"CenturyLink",Florida,3344.3279999999995,DSL,8,0.75,250,49.95,0,0.99,50.940000000000005,0,Yes
"CenturyLink",Florida,4341.3279999999995,DSL,8,0.75,250,49.95,0,0.99,50.940000000000005,0,Yes
"CenturyLink",Florida,2792.3279999999995,DSL,10,0.875,250,49.95,0,0.99,50.940000000000005,0,Yes
"CenturyLink",Florida,3344.3279999999995,DSL,10,0.875,250,49.95,0,0.99,50.940000000000005,0,Yes
"CenturyLink",Florida,4341.3279999999995,DSL,10,0.875,250,49.95,0,0.99,50.940000000000005,0,Yes
"CenturyLink",Florida,2792.3279999999995,DSL,25,2,250,74.95,0,0.99,75.94,0,Yes
"CenturyLink",Florida,3344.3279999999995,DSL,25,2,250,74.95,0,0.99,75.94,0,Yes
"CenturyLink",Florida,4341.3279999999995,DSL,25,2,250,74.95,0,0.99,75.94,0,Yes
"CenturyLink",Florida,2792.3279999999995,DSL,40,5,250,99.95,0,0.99,100.94,0,Yes
"CenturyLink",Florida,3344.3279999999995,DSL,40,5,250,99.95,0,0.99,100.94,0,Yes
"CenturyLink",Iowa,4226.3279999999995,DSL,1.5,0.875,150,35,0,0.99,35.99,0,No
"CenturyLink",Iowa,4226.3279999999995,DSL,3,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Iowa,4226.3279999999995,DSL,4,1,250,50,0,0.99,50.99,0,Yes
"CenturyLink",Iowa,4226.3279999999995,DSL,5,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Iowa,4226.3279999999995,DSL,7,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Iowa,4226.3279999999995,DSL,12,0.875,250,55,0,0.99,55.99,0,Yes
"CenturyLink",Iowa,4226.3279999999995,DSL,20,0.875,250,65,0,0.99,65.99,0,Yes
"CenturyLink",Iowa,2113.1639999999998,DSL,40,5,250,105,0,0.99,105.99,0,Yes
"CenturyLink",Iowa,2113.1639999999998,DSL,40,20,250,115,0,0.99,115.99,0,Yes
"CenturyLink",Iowa,4226.3279999999995,FIBER,100,50,250,65,0,0.99,65.99,0,No
"CenturyLink",Minnesota,3536.3279999999995,DSL,1.5,0.875,150,35,0,0.99,35.99,0,No
"CenturyLink",Minnesota,3555.3279999999995,DSL,1.5,0.875,150,35,0,0.99,35.99,0,No
"CenturyLink",Minnesota,4480.3279999999995,DSL,1.5,0.875,150,35,0,0.99,35.99,0,No
"CenturyLink",Minnesota,3536.3279999999995,DSL,3,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Minnesota,3555.3279999999995,DSL,3,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Minnesota,4480.3279999999995,DSL,3,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Minnesota,3536.3279999999995,DSL,4,1,250,50,0,0.99,50.99,0,Yes
"CenturyLink",Minnesota,3555.3279999999995,DSL,4,1,250,50,0,0.99,50.99,0,Yes
"CenturyLink",Minnesota,4480.3279999999995,DSL,4,1,250,50,0,0.99,50.99,0,Yes
"CenturyLink",Minnesota,3536.3279999999995,DSL,5,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Minnesota,3555.3279999999995,DSL,5,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Minnesota,4480.3279999999995,DSL,5,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Minnesota,3536.3279999999995,DSL,7,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Minnesota,3555.3279999999995,DSL,7,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Minnesota,4480.3279999999995,DSL,7,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Minnesota,3536.3279999999995,DSL,12,0.875,250,55,0,0.99,55.99,0,Yes
"CenturyLink",Minnesota,3555.3279999999995,DSL,12,0.875,250,55,0,0.99,55.99,0,Yes
"CenturyLink",Minnesota,4480.3279999999995,DSL,12,0.875,250,55,0,0.99,55.99,0,Yes
"CenturyLink",Minnesota,3536.3279999999995,DSL,20,0.875,250,65,0,0.99,65.99,0,Yes
"CenturyLink",Minnesota,3555.3279999999995,DSL,20,0.875,250,65,0,0.99,65.99,0,Yes
"CenturyLink",Minnesota,4480.3279999999995,DSL,20,0.875,250,65,0,0.99,65.99,0,Yes
"CenturyLink",Minnesota,1768.1639999999998,DSL,40,5,250,105,0,0.99,105.99,0,Yes
"CenturyLink",Minnesota,1777.6639999999998,DSL,40,5,250,105,0,0.99,105.99,0,Yes
"CenturyLink",Minnesota,2240.1639999999998,DSL,40,5,250,105,0,0.99,105.99,0,Yes
"CenturyLink",Minnesota,1768.1639999999998,DSL,40,20,250,115,0,0.99,115.99,0,Yes
"CenturyLink",Minnesota,1777.6639999999998,DSL,40,20,250,115,0,0.99,115.99,0,Yes
"CenturyLink",Minnesota,2240.1639999999998,DSL,40,20,250,115,0,0.99,115.99,0,Yes
"CenturyLink",Nebraska,2972.3279999999995,DSL,1.5,0.875,150,35,0,0.99,35.99,0,No
"CenturyLink",Nebraska,3506.3279999999995,DSL,1.5,0.875,150,35,0,0.99,35.99,0,No
"CenturyLink",Nebraska,2972.3279999999995,DSL,3,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Nebraska,3506.3279999999995,DSL,3,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Nebraska,2972.3279999999995,DSL,4,1,250,50,0,0.99,50.99,0,Yes
"CenturyLink",Nebraska,3506.3279999999995,DSL,4,1,250,50,0,0.99,50.99,0,Yes
"CenturyLink",Nebraska,2972.3279999999995,DSL,5,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Nebraska,3506.3279999999995,DSL,5,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Nebraska,2972.3279999999995,DSL,7,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Nebraska,3506.3279999999995,DSL,7,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Nebraska,2972.3279999999995,DSL,12,0.875,250,55,0,0.99,55.99,0,Yes
"CenturyLink",Nebraska,3506.3279999999995,DSL,12,0.875,250,55,0,0.99,55.99,0,Yes
"CenturyLink",Nebraska,2972.3279999999995,DSL,20,0.875,250,65,0,0.99,65.99,0,Yes
"CenturyLink",Nebraska,3506.3279999999995,DSL,20,0.875,250,65,0,0.99,65.99,0,Yes
"CenturyLink",Nebraska,1486.1639999999998,DSL,40,5,250,105,0,0.99,105.99,0,Yes
"CenturyLink",Nebraska,1753.1639999999998,DSL,40,5,250,105,0,0.99,105.99,0,Yes
"CenturyLink",Nebraska,1486.1639999999998,DSL,40,20,250,115,0,0.99,115.99,0,Yes
"CenturyLink",Nebraska,1753.1639999999998,DSL,40,20,250,115,0,0.99,115.99,0,Yes
"CenturyLink",Ohio,3603.3279999999995,DSL,0.75,0.375,150,29.95,0,0.99,30.939999999999998,0,No
"CenturyLink",Ohio,3603.3279999999995,DSL,1.5,0.5,150,39.95,0,0.99,40.940000000000005,0,No
"CenturyLink",Ohio,3603.3279999999995,DSL,3,0.625,250,44.95,0,0.99,45.940000000000005,0,Yes
"CenturyLink",Ohio,3603.3279999999995,DSL,4,1,250,54.95,0,0.99,55.940000000000005,0,Yes
"CenturyLink",Ohio,3603.3279999999995,DSL,6,0.5,250,49.95,0,0.99,50.940000000000005,0,Yes
"CenturyLink",Ohio,3603.3279999999995,DSL,8,0.75,250,49.95,0,0.99,50.940000000000005,0,Yes
"CenturyLink",Ohio,3603.3279999999995,DSL,10,0.875,250,49.95,0,0.99,50.940000000000005,0,Yes
"CenturyLink",Ohio,3603.3279999999995,DSL,25,2,250,74.95,0,0.99,75.94,0,Yes
"CenturyLink",Oregon,2975.3279999999995,DSL,1.5,0.875,150,35,0,0.99,35.99,0,No
"CenturyLink",Oregon,3487.3279999999995,DSL,1.5,0.875,150,35,0,0.99,35.99,0,No
"CenturyLink",Oregon,4371.3279999999995,DSL,1.5,0.875,150,35,0,0.99,35.99,0,No
"CenturyLink",Oregon,2975.3279999999995,DSL,3,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Oregon,3487.3279999999995,DSL,3,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Oregon,4371.3279999999995,DSL,3,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Oregon,2975.3279999999995,DSL,4,1,250,50,0,0.99,50.99,0,Yes
"CenturyLink",Oregon,3487.3279999999995,DSL,4,1,250,50,0,0.99,50.99,0,Yes
"CenturyLink",Oregon,4371.3279999999995,DSL,4,1,250,50,0,0.99,50.99,0,Yes
"CenturyLink",Oregon,2975.3279999999995,DSL,5,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Oregon,3487.3279999999995,DSL,5,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Oregon,4371.3279999999995,DSL,5,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Oregon,2975.3279999999995,DSL,7,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Oregon,3487.3279999999995,DSL,7,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Oregon,4371.3279999999995,DSL,7,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Oregon,2975.3279999999995,DSL,12,0.875,250,55,0,0.99,55.99,0,Yes
"CenturyLink",Oregon,3487.3279999999995,DSL,12,0.875,250,55,0,0.99,55.99,0,Yes
"CenturyLink",Oregon,4371.3279999999995,DSL,12,0.875,250,55,0,0.99,55.99,0,Yes
"CenturyLink",Oregon,2975.3279999999995,DSL,20,0.875,250,65,0,0.99,65.99,0,Yes
"CenturyLink",Oregon,3487.3279999999995,DSL,20,0.875,250,65,0,0.99,65.99,0,Yes
"CenturyLink",Oregon,4371.3279999999995,DSL,20,0.875,250,65,0,0.99,65.99,0,Yes
"CenturyLink",Oregon,1487.6639999999998,DSL,40,5,250,105,0,0.99,105.99,0,Yes
"CenturyLink",Oregon,1743.6639999999998,DSL,40,5,250,105,0,0.99,105.99,0,Yes
"CenturyLink",Oregon,2185.6639999999998,DSL,40,5,250,105,0,0.99,105.99,0,Yes
"CenturyLink",Oregon,1487.6639999999998,DSL,40,20,250,115,0,0.99,115.99,0,Yes
"CenturyLink",Oregon,1743.6639999999998,DSL,40,20,250,115,0,0.99,115.99,0,Yes
"CenturyLink",Oregon,2185.6639999999998,DSL,40,20,250,115,0,0.99,115.99,0,Yes
"CenturyLink",Tennessee,4904.3279999999995,DSL,0.75,0.375,150,29.95,0,0.99,30.939999999999998,0,No
"CenturyLink",Tennessee,4904.3279999999995,DSL,1.5,0.5,150,39.95,0,0.99,40.940000000000005,0,No
"CenturyLink",Tennessee,4904.3279999999995,DSL,3,0.625,250,44.95,0,0.99,45.940000000000005,0,Yes
"CenturyLink",Tennessee,4904.3279999999995,DSL,4,1,250,54.95,0,0.99,55.940000000000005,0,Yes
"CenturyLink",Tennessee,4904.3279999999995,DSL,6,0.5,250,49.95,0,0.99,50.940000000000005,0,Yes
"CenturyLink",Tennessee,4904.3279999999995,DSL,8,0.75,250,49.95,0,0.99,50.940000000000005,0,Yes
"CenturyLink",Tennessee,4904.3279999999995,DSL,10,0.875,250,49.95,0,0.99,50.940000000000005,0,Yes
"CenturyLink",Tennessee,4904.3279999999995,DSL,25,2,250,74.95,0,0.99,75.94,0,Yes
"CenturyLink",Utah,3330.3279999999995,DSL,1.5,0.875,150,35,0,0.99,35.99,0,No
"CenturyLink",Utah,3917.3279999999995,DSL,1.5,0.875,150,35,0,0.99,35.99,0,No
"CenturyLink",Utah,3330.3279999999995,DSL,3,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Utah,3917.3279999999995,DSL,3,0.875,250,45,0,0.99,45.99,0,Yes
"CenturyLink",Utah,3330.3279999999995,DSL,4,1,250,50,0,0.99,50.99,0,Yes
